Model,OS Version,Release Date,Discontinued Date,Support End Date,Final OS Version,Lifespan,Support Min,Launch Price
iPhone,iPhone OS 1.0,2007-06-29,2008-06-09,"June 20, 2010",iPhone OS 3.1.3,35 months,24 months,549
iPhone 3G,iPhone OS 2.0,2008-07-11,2010-08-09,"March 3, 2011",iOS 4.2.1,31 months,6 months,332
iPhone 3GS,iPhone OS 3.0,2009-06-19,2012-09-12,"September 18, 2013",iOS 6.1.6,50 months,12 months,449
iPhone 4,iOS 4.0,2010-06-24,2013-09-10,"September 17, 2014",iOS 7.1.2,50 months,12 months,474
iPhone 4S,iOS 5.0,2011-10-14,2014-09-09,"September 12, 2016",iOS 9.3.5,58 months,24 months,524
iPhone 5,iOS 6.0,2012-09-21,2013-09-10,"September 18, 2017",iOS 10.3.3,59 months,48 months,524
iPhone 5C,iOS 7.0,2013-09-20,2015-09-09,"September 18, 2017",iOS 10.3.3,47 months,24 months,374
iPhone 5S,iOS 7.0,2013-09-20,2016-03-21,"September 18, 2019",iOS 12.4.1,71 months,41 months,524
iPhone 6 / 6 Plus,iOS 8.0,2014-09-19,2016-09-07,"September 18, 2019",iOS 12.4.1,59 months,36 months,524
iPhone 6S / 6S Plus,iOS 9.0.1,2015-09-25,2018-09-12,current,latest iOS,61 months,26 months,524
iPhone SE (1st),iOS 9.3,2016-03-31,2018-09-12,current,latest iOS,55 months,26 months,449
iPhone 7 / 7 Plus,iOS 10.0.1,2016-09-16,2019-09-10,current,latest iOS,50 months,14 months,524
iPhone 8 / 8 Plus,iOS 11.0,2017-09-22,2020-04-15,current,latest iOS,38 months,7 months,774
iPhone X,iOS 11.0.1,2017-11-03,2018-09-12,current,latest iOS,36 months,26 months,849
iPhone XS / XS Max,iOS 12.0,2018-09-21,2019-09-10,current,latest iOS,26 months,14 months,1165
iPhone XR,iOS 12.0,2018-10-26,2021-01-30,current,latest iOS,24 months,0 months,815
iPhone 11,iOS 13.0,2019-09-20,2021-12-25,current,latest iOS,14 months,0 months,765
iPhone 11 Pro / 11 Pro Max,iOS 13.0,2019-09-20,2020-10-13,current,latest iOS,14 months,0 months,1165
iPhone SE (2nd),iOS 13.4,2020-04-24,2022-07-30,current,latest iOS,6 months,0 months,465
iPhone 12 / 12 Mini,iOS 14.1 (12) / iOS 14.2 (12 Mini),,,current,latest iOS,0 months,0 months,865
iPhone 12 Pro / 12 Pro Max,iOS 14.1 (12 Pro) / iOS 14.2 (12 Pro Max),,,current,latest iOS,0 months,0 months,1132
